id,smiles,inchikey
Z1317767066,Cc1ccccc1-n1ncc(C(=O)Nc2c(F)cccc2NC2CC2)c1C,BCAGOEYMCWTPKW-UHFFFAOYSA-N
Z1566153913,CN1CCCN(C(=O)c2ncn(-c3ccccc3)n2)c2cc(Cl)ccc21,MTIKFPZKSFAQDL-UHFFFAOYSA-N
Z392096432,N#Cc1ccc(NC(=O)c2ccn(-c3ccccc3F)n2)cc1Cl,NUNJBYVODGSNQG-UHFFFAOYSA-N
Z1497462680,Cc1cc(C(=O)Nc2ccccc2N2CCCC2=O)nn1-c1ccc(F)cc1F,ZGJXTXYMLHIBKS-UHFFFAOYSA-N
Z1510361563,CCc1c(C(=O)Nc2cncc(-c3nncn3C)c2)cnn1-c1ccc(F)cc1,MYYQDWXFTRXSGQ-UHFFFAOYSA-N
Z1471424516,CN(C)c1ccccc1N(C)C(=O)c1ccc2ccc(Cl)cc2n1,SEEPBIOOHDZMTC-UHFFFAOYSA-N
Z1564679564,COc1ccc(F)cc1NC(=O)Cc1csc(-c2ccccc2Cl)n1,AKAGWGKYBVXQFW-UHFFFAOYSA-N
Z1311047835,Cc1c(C(=O)Nc2ccc(C(N)=O)cc2F)nnn1-c1ccccc1Cl,QQFANDSINFNQOA-UHFFFAOYSA-N
Z453890548,COC(=O)c1ccc(F)cc1NC(=O)c1cn(-c2ccc(C)cc2)nn1,FAELECWBRNEVHW-UHFFFAOYSA-N
Z1505166267,O=C(c1cc(-c2cccnc2)on1)N1CCCc2cc(Cl)cc(Cl)c21,ULGRIGBCLRBJIG-UHFFFAOYSA-N
